Mean,Mode,Slope,Original,bottle
-1.28884302185366,-1.221,-1.21540415503046,-1.3044,7
-1.13141137694333,-0.942,-0.974812617820613,-1.1634,8
-1.36548099962769,-1.254,-1.26337590653866,-1.4347,9
-1.16297456449398,-1.158,-1.15820118744542,-1.3316,10
-1.44303054090349,-1.455,-1.42164086762357,-1.5774,11
-1.83657972793437,-1.95,-1.79751707580652,-1.8488,12
